"Mátrix mérete" Szekvenciális[ns] Párhuzamos[ns]
10 12910 637411
20 100114 763965
30 391605 698161
40 674719 1176885
50 1315376 1516483
60 2248429 2418138
70 3553065 3632384
80 5265524 5310062
90 7477950 6133208
100 10187961 8414515
110 13505425 10198070
120 17516904 12655342
130 22393950 15320789
140 28050786 20470657
150 34283647 24973570
160 43268926 30026418
170 51805739 34579858
180 61951081 42632504
190 74772650 47210848
200 87846950 56444180
210 102382976 64699867
220 115232198 74659098
230 130520514 84605053
240 147546794 96969669
250 170400870 108824865
260 189586373 120269786
270 213000923 136796510
280 230868256 149736335
290 268203611 175951587
300 292084785 192399823
310 328172738 214259569
320 370084540 244786460
330 393459109 257532344
340 428547577 279077516
350 470017177 306599281
360 494137776 323657901
370 555993225 363185049
380 598286540 388536404
390 659090663 427865045
400 706684822 463173137
410 773761802 503486256
420 814564051 527881177
430 891070470 574023787
440 913472602 591429065
450 1028994301 666740760
460 1083772777 700835083
470 1176267217 760892273
480 1277500347 827230535
490 1365817286 871253714
500 1452851603 927404023

